species,larval,postlarval,juvenile-adult
other_pen,0.375534742,0.12760208,0.271281109
other_pen,0.271412246,0.159435109,0.230934703
other_pen,0.258543032,0.238975083,0.26281365
other_pen,0.342715031,0.144531706,0.237970622
other_pen,0.297490702,0.286236012,0.185236577
other_pen,0.252285274,0.173654859,0.312293174
other_pen,0.466840623,0.162446764,0.271641674
other_pen,0.330908705,0.182614855,0.245741101
other_pen,0.275877542,0.124773129,0.261518104
other_pen,0.296195427,0.270111173,0.3536313
other_pen,0.339728384,0.121205,0.278870008
other_pen,0.281804144,0.116046804,0.411992027
other_pen,0.283205277,0.109309136,0.262745356
other_pen,0.23451435,0.229500348,0.286491553
other_pen,0.398402129,0.215019727,0.255989997
other_pen,0.409528432,0.166352336,0.343192928
other_pen,0.23359276,0.165049862,0.317467923
other_pen,0.471764734,0.176974551,0.166556458
other_pen,0.36243064,0.151417223,0.231864577
other_pen,0.329541781,0.225687742,0.350086733
other_pen,0.296691202,0.179033745,0.261084607
other_pen,0.250595403,0.382091847,0.234429491
other_pen,0.264480745,0.257396696,0.289539626
other_pen,0.292552349,0.234509404,0.324648854
other_pen,0.260418892,0.093880586,0.203987399
other_pen,0.251156201,0.31982106,0.258952381
other_pen,0.339913549,0.160344928,0.231900632
other_pen,0.196318835,0.145234622,0.382265062
other_pen,0.261752356,0.145657271,0.235398233
other_pen,0.435753482,0.167238731,0.249944501
other_pen,0.209752517,0.163731608,0.297538426
other_pen,0.33408863,0.14617769,0.226816725
other_pen,0.253911353,0.173310738,0.288097346
other_pen,0.492771008,0.252125265,0.249641959
other_pen,0.278434634,0.111892578,0.407619914
other_pen,0.379126033,0.156301506,0.318106299
other_pen,0.356101434,0.210120312,0.274886011
other_pen,0.344705572,0.148656455,0.383914318
other_pen,0.305186179,0.215159247,0.282030285
other_pen,0.283213172,0.141764762,0.354074754
other_pen,0.32441599,0.360800165,0.216242236
other_pen,0.239052328,0.097715987,0.303759418
other_pen,0.416063343,0.20228491,0.29981185
other_pen,0.34502048,0.125970788,0.26198013
other_pen,0.693637075,0.143041762,0.22155049
other_pen,0.213763762,0.127746311,0.261777989
other_pen,0.26944551,0.151984802,0.275393989
other_pen,0.523138415,0.199593022,0.314497337
other_pen,0.337548343,0.107903512,0.335220338
other_pen,0.297212432,0.222529883,0.326261625
other_pen,0.52714481,0.253264213,0.459361121
other_pen,0.335181406,0.181201506,0.200944709
other_pen,0.328661724,0.1750919,0.336174795
other_pen,0.3315673,0.306476544,0.241293721
other_pen,0.272521517,0.13618354,0.262524262
other_pen,0.285856048,0.205039727,0.278754279
other_pen,0.368786384,0.17966552,0.294670347
other_pen,0.581295831,0.121016457,0.452710383
other_pen,0.426596398,0.095956069,0.306997949
other_pen,0.287701323,0.278968159,0.260230737
other_pen,0.338782283,0.24745479,0.183597738
